,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-01-01,05:11:55 AM,06:37:40 AM,11:56:37 AM,02:55:46 PM,05:15:34 PM,06:45:34 PM
2018-01-02,05:12:15 AM,06:37:57 AM,11:57:05 AM,02:56:24 PM,05:16:13 PM,06:46:13 PM
2018-01-03,05:12:34 AM,06:38:13 AM,11:57:33 AM,02:57:01 PM,05:16:53 PM,06:46:53 PM
2018-01-04,05:12:53 AM,06:38:28 AM,11:58:01 AM,02:57:40 PM,05:17:34 PM,06:47:34 PM
2018-01-05,05:13:10 AM,06:38:41 AM,11:58:28 AM,02:58:18 PM,05:18:15 PM,06:48:15 PM
2018-01-06,05:13:26 AM,06:38:53 AM,11:58:55 AM,02:58:57 PM,05:18:56 PM,06:48:56 PM
2018-01-07,05:13:41 AM,06:39:03 AM,11:59:21 AM,02:59:37 PM,05:19:38 PM,06:49:38 PM
2018-01-08,05:13:55 AM,06:39:13 AM,11:59:47 AM,03:00:16 PM,05:20:21 PM,06:50:21 PM
2018-01-09,05:14:07 AM,06:39:20 AM,12:00:12 PM,03:00:56 PM,05:21:04 PM,06:51:04 PM
2018-01-10,05:14:19 AM,06:39:26 AM,12:00:37 PM,03:01:36 PM,05:21:47 PM,06:51:47 PM
2018-01-11,05:14:29 AM,06:39:31 AM,12:01:01 PM,03:02:16 PM,05:22:30 PM,06:52:30 PM
2018-01-12,05:14:38 AM,06:39:35 AM,12:01:24 PM,03:02:56 PM,05:23:14 PM,06:53:14 PM
2018-01-13,05:14:46 AM,06:39:36 AM,12:01:47 PM,03:03:36 PM,05:23:58 PM,06:53:58 PM
2018-01-14,05:14:52 AM,06:39:37 AM,12:02:10 PM,03:04:16 PM,05:24:43 PM,06:54:43 PM
2018-01-15,05:14:57 AM,06:39:36 AM,12:02:31 PM,03:04:56 PM,05:25:27 PM,06:55:27 PM
2018-01-16,05:15:01 AM,06:39:33 AM,12:02:53 PM,03:05:36 PM,05:26:12 PM,06:56:12 PM
2018-01-17,05:15:03 AM,06:39:29 AM,12:03:13 PM,03:06:16 PM,05:26:56 PM,06:56:56 PM
2018-01-18,05:15:04 AM,06:39:24 AM,12:03:33 PM,03:06:56 PM,05:27:41 PM,06:57:41 PM
2018-01-19,05:15:04 AM,06:39:17 AM,12:03:51 PM,03:07:35 PM,05:28:26 PM,06:58:26 PM
2018-01-20,05:15:02 AM,06:39:09 AM,12:04:10 PM,03:08:14 PM,05:29:11 PM,06:59:11 PM
2018-01-21,05:14:59 AM,06:38:59 AM,12:04:27 PM,03:08:53 PM,05:29:55 PM,06:59:55 PM
2018-01-22,05:14:55 AM,06:38:48 AM,12:04:44 PM,03:09:32 PM,05:30:40 PM,07:00:40 PM
2018-01-23,05:14:49 AM,06:38:35 AM,12:05:00 PM,03:10:10 PM,05:31:25 PM,07:01:25 PM
2018-01-24,05:14:42 AM,06:38:21 AM,12:05:15 PM,03:10:48 PM,05:32:09 PM,07:02:09 PM
2018-01-25,05:14:34 AM,06:38:05 AM,12:05:29 PM,03:11:26 PM,05:32:53 PM,07:02:53 PM
2018-01-26,05:14:24 AM,06:37:48 AM,12:05:43 PM,03:12:03 PM,05:33:38 PM,07:03:38 PM
